,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,DAYS_BIRTH,CNT_CHILDREN,DAYS_EMPLOYED,NAME_EDUCATION_TYPE,NAME_CONTRACT_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,NAME_INCOME_TYPE,CODE_GENDER
48765,1132573.5,37561.5,927000.0,-14815,1,-1652.0,Secondary / secondary special,Cash loans,Married,House / apartment,Commercial associate,F
48820,135000.0,6750.0,135000.0,-19467,0,-4066.0,Higher education,Revolving loans,Married,House / apartment,Commercial associate,F
48926,746280.0,49873.5,675000.0,-14033,3,-328.0,Secondary / secondary special,Cash loans,Married,House / apartment,Commercial associate,M
48936,1256400.0,36864.0,900000.0,-14091,2,-5664.0,Secondary / secondary special,Cash loans,Married,House / apartment,Commercial associate,F
48941,544491.0,16047.0,454500.0,-17947,0,-5025.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
48950,1483231.5,51687.0,1354500.0,-20191,1,-1699.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
48963,824544.0,52825.5,720000.0,-15377,0,-4398.0,Secondary / secondary special,Cash loans,Single / not married,House / apartment,Working,M
48978,180000.0,9000.0,180000.0,-9135,1,-460.0,Secondary / secondary special,Revolving loans,Married,House / apartment,Working,F
49083,808650.0,26217.0,675000.0,-18315,1,-497.0,Secondary / secondary special,Cash loans,Single / not married,House / apartment,Working,F
49094,1350000.0,39604.5,1350000.0,-10615,0,-1496.0,Higher education,Cash loans,Married,House / apartment,Working,M
49247,528318.0,26973.0,441000.0,-19008,0,-1689.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
49326,364896.0,16069.5,315000.0,-14731,1,-6767.0,Higher education,Cash loans,Single / not married,House / apartment,Working,F
49364,225000.0,11650.5,225000.0,-8746,2,-1756.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,M
49386,450000.0,20979.0,450000.0,-14351,0,-4551.0,Incomplete higher,Cash loans,Married,House / apartment,Working,F
49485,485640.0,38938.5,450000.0,-12418,1,-677.0,Secondary / secondary special,Cash loans,Civil marriage,Municipal apartment,Working,M
49557,607050.0,36279.0,562500.0,-14774,2,-791.0,Higher education,Cash loans,Married,House / apartment,Commercial associate,F
49602,81000.0,8851.5,81000.0,-10973,1,-505.0,Secondary / secondary special,Cash loans,Single / not married,House / apartment,Working,F
49621,728460.0,40675.5,675000.0,-15140,0,-683.0,Higher education,Cash loans,Separated,House / apartment,Working,F
49625,755190.0,38556.0,675000.0,-17295,0,-1670.0,Secondary / secondary special,Cash loans,Married,House / apartment,Commercial associate,F
49656,1185282.0,34785.0,1035000.0,-19533,0,-561.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
49736,490536.0,25888.5,405000.0,-13802,1,-4963.0,Higher education,Cash loans,Civil marriage,House / apartment,Working,F
49758,603000.0,32710.5,603000.0,-9914,1,-1903.0,Higher education,Cash loans,Married,House / apartment,State servant,M
49868,268659.0,28341.0,243000.0,-10333,0,-1855.0,Secondary / secondary special,Cash loans,Civil marriage,House / apartment,Commercial associate,F
49892,521280.0,27423.0,450000.0,-20548,0,-561.0,Secondary / secondary special,Cash loans,Separated,House / apartment,Commercial associate,F
49907,1024636.5,33993.0,918000.0,-18461,1,-832.0,Secondary / secondary special,Cash loans,Married,Co-op apartment,Commercial associate,M
49917,339241.5,12919.5,238500.0,-10238,2,-1669.0,Secondary / secondary special,Cash loans,Married,House / apartment,Commercial associate,M
49951,948582.0,33736.5,679500.0,-8953,1,-462.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,M
49994,508495.5,24592.5,454500.0,-16227,3,-2251.0,Lower secondary,Cash loans,Married,House / apartment,Working,M
50051,735579.0,32530.5,585000.0,-20068,0,-11781.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
50177,180000.0,9000.0,180000.0,-15113,0,-757.0,Secondary / secondary special,Revolving loans,Married,House / apartment,Commercial associate,F
50282,302076.0,27832.5,270000.0,-12229,1,-2524.0,Higher education,Cash loans,Married,House / apartment,Working,F
50291,177768.0,12010.5,135000.0,-8350,0,-814.0,Secondary / secondary special,Cash loans,Single / not married,House / apartment,Commercial associate,M
50310,1965226.5,68440.5,1696500.0,-18318,0,-923.0,Secondary / secondary special,Cash loans,Married,House / apartment,Commercial associate,M
50354,269982.0,29074.5,238500.0,-14834,0,-2642.0,Secondary / secondary special,Cash loans,Single / not married,House / apartment,Working,F
50454,284400.0,19003.5,225000.0,-12589,0,-2085.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
50458,202500.0,20025.0,202500.0,-13614,1,-4539.0,Secondary / secondary special,Cash loans,Married,With parents,Working,F
50461,755190.0,36328.5,675000.0,-12831,1,-2098.0,Higher education,Cash loans,Married,House / apartment,Working,F
50470,755190.0,36459.0,675000.0,-19085,1,-5374.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
50474,292500.0,18022.5,292500.0,-14646,0,-3620.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,M
50489,323388.0,21739.5,292500.0,-16591,1,-9268.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
50531,783927.0,34659.0,688500.0,-18158,0,-5890.0,Higher education,Cash loans,Civil marriage,House / apartment,Commercial associate,F
50552,1705500.0,53680.5,1705500.0,-17231,0,-1344.0,Higher education,Cash loans,Separated,House / apartment,Working,F
50629,449352.0,12357.0,355500.0,-11838,0,-3950.0,Incomplete higher,Cash loans,Married,House / apartment,Working,M
50811,755190.0,34254.0,675000.0,-12995,0,-2855.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,M
50962,337500.0,16875.0,337500.0,-9707,0,-1921.0,Higher education,Revolving loans,Married,With parents,Working,F
50969,675000.0,33750.0,675000.0,-21577,0,-1891.0,Higher education,Revolving loans,Widow,House / apartment,Working,F
51037,369000.0,18967.5,369000.0,-19764,0,-296.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
51098,1288350.0,37669.5,1125000.0,-13936,1,-1799.0,Secondary / secondary special,Cash loans,Married,With parents,Working,M
51099,690579.0,26433.0,558000.0,-14086,1,-2197.0,Secondary / secondary special,Cash loans,Married,House / apartment,Commercial associate,F
51113,176328.0,12775.5,139500.0,-13597,3,-591.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
51189,900000.0,26316.0,900000.0,-19789,0,-6345.0,Higher education,Cash loans,Married,With parents,Working,F
51318,495000.0,24750.0,495000.0,-12653,0,-5227.0,Secondary / secondary special,Revolving loans,Single / not married,House / apartment,Working,M
51408,675000.0,53329.5,675000.0,-14675,0,-2052.0,Secondary / secondary special,Cash loans,Single / not married,House / apartment,Commercial associate,F
51537,675000.0,18562.5,675000.0,-11259,2,-1427.0,Higher education,Cash loans,Married,House / apartment,Commercial associate,F
51547,314100.0,13437.0,225000.0,-21420,0,-291.0,Secondary / secondary special,Cash loans,Widow,House / apartment,State servant,F
51647,343800.0,16852.5,225000.0,-10595,0,-781.0,Secondary / secondary special,Cash loans,Civil marriage,House / apartment,Working,F
51726,273636.0,29164.5,247500.0,-10072,1,-485.0,Secondary / secondary special,Cash loans,Married,House / apartment,Commercial associate,F
51749,398160.0,25573.5,315000.0,-19908,0,-1753.0,Secondary / secondary special,Cash loans,Married,House / apartment,State servant,M
51894,450000.0,23139.0,450000.0,-19652,0,-2880.0,Secondary / secondary special,Cash loans,Married,House / apartment,Working,F
52059,1112670.0,44257.5,954000.0,-14483,1,-270.0,Secondary / secondary special,Cash loans,Separated,House / apartment,Working,F
52069,337500.0,16875.0,337500.0,-16948,0,-2475.0,Secondary / secondary special,Revolving loans,Married,House / apartment,Working,F
52121,781920.0,34573.5,675000.0,-14487,2,-112.0,Higher education,Cash loans,Married,Office apartment,Working,F
52134,835380.0,40320.0,675000.0,-15893,2,-1670.0,Higher education,Cash loans,Married,House / apartment,Working,M
52179,468333.0,34209.0,382500.0,-9879,1,-873.0,Secondary / secondary special,Cash loans,Married,With parents,Working,M
52188,1223010.0,48501.0,1125000.0,-12702,0,-1670.0,Higher education,Cash loans,Married,House / apartment,Commercial associate,F
52280,450000.0,35554.5,450000.0,-10148,1,-2579.0,Higher education,Cash loans,Married,House / apartment,Working,M
52288,2085120.0,72607.5,1800000.0,-17203,0,-1431.0,Higher education,Cash loans,Married,House / apartment,State servant,F
52372,701730.0,66757.5,675000.0,-20902,0,-1484.0,Higher education,Cash loans,Married,House / apartment,State servant,F
52480,382500.0,19125.0,382500.0,-14686,1,-1412.0,Higher education,Revolving loans,Separated,House / apartment,Commercial associate,F
52615,1528200.0,53118.0,1350000.0,-19294,0,-518.0,Secondary / secondary special,Cash loans,Married,House / apartment,Commercial associate,F
52645,135000.0,6750.0,135000.0,-13404,1,-2157.0,Secondary / secondary special,Revolving loans,Married,House / apartment,Working,F
52711,675000.0,28507.5,675000.0,-9869,2,-1588.0,Higher education,Cash loans,Married,House / apartment,State servant,F
52789,1837629.0,48604.5,1642500.0,-14980,0,-4341.0,Higher education,Cash loans,Married,House / apartment,State servant,F
52790,473760.0,50400.0,450000.0,-14732,3,-43.0,Secondary / secondary special,Cash loans,Married,Rented apartment,Commercial associate,M
